,image,price,deal,title,shop,location
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/3346543506/TB1lLbYxQKWBuNjy1zjXXcOypXa_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
28.80",7937,"海鸭蛋蛋黄酥雪媚娘手工新鲜网红小吃糕点心酥饼
美食
红豆咸蛋黄酥",虫虫小兵食品旗舰店,江西 新余
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/2524706146/TB2tWgEjCYTBKNjSZKbXXXJ8pXa_!!2524706146.jpg_360x360Q90.jpg_.webp,"¥
43.90",373,"是大腿零食店雪花酥糕点礼盒抹茶草莓网红零食手工自制ins
美食",startor网店,江苏 南京
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/3083026886/TB2RrXgnVkoBKNjSZFEXXbrEVXa_!!3083026886-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
39.80",1111,"沈万三 周庄特产
美食
沈万三蹄猪蹄髈猪肘酱肘子1000克肉类熟食",沈万三旗舰店,江苏 苏州
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/3423673333/TB2ROUIvMKTBuNkSne1XXaJoXXa_!!3423673333.jpg_360x360Q90.jpg_.webp,"¥
45.00",24,"抖音网红毛笔酥 能吃的毛笔头食品点心 餐厅毛笔酥特产
美食
不带杆",可食天下,广东 广州
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/35444155/TB2GgXIcOjQBKNjSZFnXXa_DpXa_!!35444155.jpg_360x360Q90.jpg_.webp,"¥
20.90",133,"1件包邮（5斤）5袋山东特产糕点蜜三刀 特产小吃
美食
甜点心零食",pangziding2006,山东 泰安
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/1672852035/TB2Lm3zf2iSBuNkSnhJXXbDcpXa_!!1672852035-2-item_pic.png_360x360Q90.jpg_.webp,"¥
35.80",130,"重庆磁器口特产特色
美食
零食小吃零食麻花多口味陈建平麻花500g*2",渝淘乐食品专营店,重庆
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/2595065552/TB1KcCghxSYBuNjSspjXXX73VXa_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
24.50",775,"沙琪玛整箱3斤酥蜜枣芝麻早餐糕点办公室
美食
小吃零食1500g包邮",河南今福缘,河南 漯河
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/67817007/TB26sNpcNSYBuNjSspjXXX73VXa_!!67817007.jpg_360x360Q90.jpg_.webp,"¥
15.24",1308,"网红零食正宗鸡仔饼 潮汕
美食
手工糕点 广东鸡仔饼 咸香肉馅饼",潮汕名产,广东 汕头
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/1910096177/TB2bEd0nlsmBKNjSZFsXXaXSVXa_!!1910096177-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
34.80",876,"龙旺红糖糍粑 纯黑糖手工四川特产成都小吃特色重庆
美食
糯米糍粑",听竹食品专营店,四川 成都
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/1056877153/TB2AdSfl3aTBuNjSszfXXXgfpXa_!!1056877153-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
65.00",907,"红星软香酥陕西特产西安小吃早餐零食中秋中式豆沙小点心
美食
酥饼",红星软香酥旗舰店,陕西 咸阳
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/3852915832/TB2fb3GkbSYBuNjSspfXXcZCpXa_!!3852915832.jpg_360x360Q90.jpg_.webp,"¥
48.00",100,"延禧攻略荷花酥零食 传统手工糕点中秋礼盒酥饼
美食
舌尖上的中国",悠派企业店,浙江 温州
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/3919489899/TB2cHTzjQZmBKNjSZPiXXXFNVXa_!!3919489899.jpg_360x360Q90.jpg_.webp,"¥
16.80",236,"湖北特产小吃零食矮子馅饼特产
美食
正宗红糖纯手工老婆饼绿豆饼",优特百味总公司,湖北 荆门
0,//g.alicdn.com/s.gif,"¥
26.90",1391,"【百草味-夹心麻薯210gx3袋】零食特产
美食
小吃 糕点点心早餐食品",百草味零食连锁,浙江 杭州
0,//g.alicdn.com/s.gif,"¥
39.90",28,"三禾北京稻香村鸡蛋槽子糕312g*2北京茶点心特色
美食
老蛋糕",稻香通宝食品专营店,北京
0,//g.alicdn.com/s.gif,"¥
38.00",429,"胡先生玫瑰蛋黄酥玫瑰豆沙雪媚娘麻薯传统糕点
美食
早餐零食 6枚装",mrhu旗舰店,云南 昆明
0,//g.alicdn.com/s.gif,"¥
22.00",282,"南京特产 鸡蛋汉堡 鲜肉汉堡包馅饼鸡蛋饼 早餐小吃 南京人气
美食",沧澜流转,江苏 南京
0,//g.alicdn.com/s.gif,"¥
34.80",413,"金华酥饼浙江特产红糖酥饼梅干菜肉黄山烧饼整箱散装
美食
糕点点心",乡间小筑777,浙江 金华
0,//g.alicdn.com/s.gif,"¥
28.80",75,"御食园 传统茯苓饼500g老北京特产特色小吃正宗传统
美食
糕点零食",力士蛋糕,北京
0,//g.alicdn.com/s.gif,"¥
62.80",4989,"轩妈家蛋黄酥 4种口味混合组合装糕点点心
美食
早餐点心零食小吃",轩妈食品旗舰店,广西 南宁
0,//g.alicdn.com/s.gif,"¥
59.90",410,"南京特产金陵
美食
夫子庙小吃零食传统
美食
6盒大礼包送礼品袋",酥房斋旗舰店,江苏 南京
